PDB ID	RMSD to reference PDB 6m0k_A
5rfk_A	0.17212737893124797
6y2e_A	0.33830607178334304
5rfu_A	0.11051123483773125
5rel_A	0.10634620172601436
5rea_A	0.16719694378743014
5rg2_A	0.1497232973756683
5rfv_A	0.12130670870402652
5rgi_A	0.13888859401090117
5r83_A	0.1223149797461318
5rfh_A	0.2823149686618816
5rfo_A	0.28840581996645276
5rgn_A	0.09599832623519641
5re6_A	0.17175822707910493
5re4_A	0.21139445942875235
5reo_A	0.1602411159191416
5rer_A	0.20169856588164095
5rfy_A	0.20501758156062355
5r80_A	0.16700386382208762
5r81_A	0.21063985428282428
6y2f_A	0.5758611901245551
5rg3_A	0.13850760103598195
5r7z_A	0.16664262308849798
5rev_A	0.11342461079697078
7buy_A	1.5064222699523873
5ref_A	0.14684915998536072
5rf4_A	0.08920150728061334
5re7_A	0.14009616330214647
5rez_A	0.1188498473283673
5rfi_A	0.17265956997514778
5rfs_A	0.13913568519731967
5rgj_A	0.1415097744193364
6y84_A	0.15596191357839484
5red_A	0.12384982067159266
5rfb_A	0.12536231575583684
5rfa_A	0.10470548506271425
5rg1_A	0.14198846626678657
5reg_A	0.21054121788741215
5reb_A	0.22365195442896407
5ret_A	0.09384867386116429
5rfz_A	0.17940247286704322
5rft_A	0.13223680941876018
5rf7_A	0.18360032061777123
5rew_A	0.13386244081309012
5rgm_A	0.12347082610704625
5rfm_A	0.15602356399941383
5re5_A	0.2157038345298403
5rex_A	0.1774530069621538
5rgp_A	0.10616443492672749
6w63_A	0.5129097459744137
6lu7_A	1.468822514137902
5rfx_A	0.17088540264816357
5rf9_A	0.3177988938180021
5rfw_A	0.17367805190351948
5rgk_A	0.12475692212409062
5rf8_A	0.14238021389821978
5rf6_A	0.1215106910829203
5rfe_A	0.0929426268579328
5rem_A	0.116721113902855
6ynq_A	0.2387794276687257
5re8_A	0.21228210071209888
5rgh_A	0.10838325252048876
6m2q_A	0.32361244270211903
7bqy_A	0.4003796509070635
5ren_A	0.2654822012580442
5rgq_A	0.1595545354472246
5rfc_A	0.138255561023241
5rfd_A	0.13587754223382745
5rgr_A	0.15839454944562503
5rf5_A	0.12621862562926825
5rgo_A	0.0910559867147332
5rfq_A	0.17892574018060164
5rgl_A	0.1398451000989202
5ree_A	0.18302175493873898
5rff_A	0.11358586967420102
5rey_A	0.16887071477793764
6m03_A	0.33962729357974075
5rfp_A	0.23533723606957185
5rfj_A	0.1201456729128535
5rfn_A	0.1619897937029905
5rfr_A	0.13060906411414291
5re9_A	0.34034010719327956
5rej_A	0.09605968892275285
6m2n_D	0.5774151643113213
5reu_A	0.10638560371628195
5reh_A	0.28351307788315866
5rep_A	0.13867390083587322
5rei_A	0.1284990964369501
5r84_A	0.2588487650702403
5rf3_A	0.14396264586907692
6yb7_A	0.1413256501707644
5r8t_A	0.1352865502086608
5r82_A	0.16562995078529516
6lze_A	1.0360493620626947
5rfl_A	0.15230253609857516
5r7y_A	0.16580040259143491
5res_A	0.10609381835922511
5rf0_A	0.139282419950316
5rf2_A	0.13803790502312352
5rg0_A	0.15080425086788815
5rgs_A	0.1564561884422664
5rec_A	0.14142571237797197
5rf1_A	0.17191723257680902
5rek_A	0.10973324012946417
6y2g_B	0.7953560723200389
5rgg_A	0.17561535826469274
5rfg_A	0.1833190013968479
